,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Naked Gun Collection,3,65.0,21.666666666666668,216.819186,72.273062,6.7,12.026674333333332,3.779583086956521,703.6666666666666
Nana Collection,1,0.0,,0.0,,5.6,1.501197,,11.0
Nanny McPhee Collection,2,60.0,30.0,215.73621,107.868105,6.2,9.3949145,3.7818876971428574,596.0
Napapiirin sankarit,2,1.73,1.73,0.0,,6.9,1.5264745,,16.5
Naruto Collection,4,0.0,,17.322135999999997,17.322135999999997,7.15,5.67039075,,117.25
National Lampoon's Vacation Collection,5,98.0,24.5,322.868721,64.5737442,6.459999999999999,9.9285544,3.0043566762246114,541.0
National Lampoon’s Van Wilder Collection,3,5.0,5.0,44.361991,22.1809955,5.3999999999999995,7.320080666666667,7.6550966,383.6666666666667
National Treasure Collection,2,230.0,115.0,804.8150619999999,402.40753099999995,6.25,15.893288000000002,3.4963485776923076,1878.0
Nativity Collection,3,0.0,,0.0,,5.366666666666667,1.7952793333333332,,23.666666666666668
Naval Cadets Collection,3,0.0,,0.0,,4.733333333333333,0.5018976666666667,,2.0
Navarone Collection,2,11.0,5.5,36.129999999999995,18.064999999999998,6.85,6.786571499999999,3.131333333333333,142.5
Neighbors Collection,2,53.0,26.5,376.915921,188.4579605,5.9,10.909879,9.002509823809524,2131.5
Nekromantik Collection,2,0.0,,0.0,,5.35,2.6599079999999997,,37.5
Nemesis Collection,4,0.0,,0.0,,4.9,3.6838755,,15.0
Nevada Smith Collection,1,0.0,,0.0,,6.9,6.974375,,34.0
Never Back Down Collection,3,23.0,11.5,41.627431,41.627431,6.366666666666667,9.956891,2.08137155,240.33333333333334
New Kids Collection,2,1.5,1.5,8.786756,8.786756,6.1,3.5347690000000007,5.857837333333333,54.5
Nick Carter Collection,2,0.0,,0.0,,6.0,0.206335,,1.0
Night at the Museum Collection,3,387.0,129.0,1337.011293,445.670431,6.133333333333333,17.206194333333332,2.7540411333333337,2289.3333333333335
Night of the Demons Collection,3,12.5,4.166666666666667,3.109904,3.109904,5.566666666666666,4.139868333333333,2.5915866666666667,47.333333333333336
Niko - Coleccion,2,6.1,6.1,17.0,17.0,5.550000000000001,2.8571615,,21.0
Nim's Island Collection,2,37.0,37.0,100.076342,100.076342,5.199999999999999,5.3285290000000005,2.704766,189.0
Ninja Collection,2,10.0,10.0,0.0,,5.65,7.417719,,90.5
"Ninja, Band of Assassins Collection",4,0.0,,0.0,,6.15,0.46612525,,3.75
Ninjas vs. Collection,1,0.0,,0.0,,3.6,0.3808,,5.0
Nitro Collection,1,0.0,,0.0,,4.4,0.944894,,10.0
No Good Middle-Aged Yakuza Trilogy,1,0.0,,0.0,,5.2,1.035742,,3.0
"No Retreat, No Surrender Collection",3,0.0,,4.770291,2.3851455,4.933333333333334,3.2514826666666665,,35.0
Nobody Collection,2,0.0,,0.0,,6.85,4.8506175,,127.0
Northpole,1,0.0,,0.0,,5.1,1.65579,,10.0
Not Quite Human Collection,3,0.0,,0.0,,5.866666666666667,0.363305,,8.333333333333334
Now You See Me Collection,2,165.0,82.5,452.600231,226.3001155,7.0,28.696337500000006,2.645222276666667,4498.5
Nuke 'Em High Collection,4,2.0,2.0,0.0,,5.3,1.94904275,,19.0
Nymphomaniac Collection,1,0.0,,2.227167,2.227167,6.6,9.594157,,820.0
OSS 117 Collection,2,31.1652,31.1652,0.0,,7.1,7.781833499999999,,324.0
OSS 117 The Original Saga,1,0.0,,0.0,,8.5,0.169425,,2.0
Ocean's Collection,3,280.0,93.33333333333333,1124.774054,374.9246846666667,6.7,12.049013,3.6625014588235296,2688.6666666666665
Ocho apellidos - Colección,2,7.5,3.75,0.0,,6.05,5.098547999999999,,173.0
"Oh, God! Collection",3,0.0,,41.687243,41.687243,5.566666666666666,1.494748666666667,,21.666666666666668
Old Way Collection,1,0.0,,0.0,,5.3,3.135108,,23.0
Olsen Banden (Samling),1,0.0,,0.0,,6.0,0.5065069999999999,,1.0
Olympia,2,0.0,,0.0,,6.4,1.1749165,,15.5
Omae Umasou Da na,1,0.0,,0.0,,7.0,0.772307,,10.0
Omega Code Series,2,0.0,,2.4,2.4,4.0,1.6020089999999998,,12.5
On Any Sunday Collection,2,0.0,,0.0,,7.1,0.835932,,5.5
Once Upon a Time in China Collection,4,12.0,12.0,61.766695999999996,20.588898666666665,6.725,4.9935305,,55.75
Once were Warriors Collection,1,0.0,,2.201126,2.201126,7.6,4.025276,,106.0
One Missed Call Collection,4,20.0,20.0,0.0,,5.25,5.66204075,,81.0
One Piece Collection,3,0.0,,119.207073,59.6035365,7.3,4.704552,,69.66666666666667
Ong Bak Collection,3,8.5,8.5,11.277041000000002,3.7590136666666676,6.033333333333334,8.683117000000001,1.0513721176470592,269.3333333333333
Onomichi Trilogy,2,0.0,,0.0,,5.65,0.005532499999999999,,2.5
Open Season Collection,4,85.0,85.0,197.309027,197.309027,5.65,8.94887875,2.3212826705882352,295.0
Open Water Collection,2,1.33,0.665,54.667954,54.667954,5.25,11.0765645,420.52272307692306,238.5
Oskar Luts Collection,3,0.0,,0.0,,7.3,0.27333233333333334,,2.3333333333333335
Osobennosti Natsionalnoy ... - Collection,5,0.0,,0.0,,5.54,1.0645593999999998,,7.0
Ostwind Filmreihe,1,0.0,,0.0,,7.1,5.912736,,60.0
Otto Collection,3,0.0,,0.0,,5.3,0.6914593333333333,,16.0
Ouija Collection,2,14.0,7.0,185.29601699999998,92.64800849999999,5.35,11.735769,14.89823521111111,870.5
Our Man Flint Collection,2,0.0,,0.0,,6.199999999999999,7.073822,,27.0
Outlaw Gangster VIP: The Complete Collection,6,0.0,,0.0,,6.875,0.11297966666666666,,1.0
Outpost Collection,3,3.0,3.0,0.0,,5.133333333333334,3.091737333333333,,41.666666666666664
Outrage Collection,2,0.0,,0.0,,6.9,4.8944915,,73.0
Overheard Collection,3,8.0,8.0,0.0,,6.266666666666667,3.0203876666666662,,21.0
PTU Collection,1,0.0,,0.0,,6.7,3.461469,,30.0
Pacific Rim Collection,1,180.0,180.0,407.602906,407.602906,6.7,33.949359,2.264460588888889,4903.0
"Pagnol, Childhood's Memories",2,0.0,,0.0,,7.550000000000001,3.759103,,55.5
Painted Skin Collection,2,0.0,,0.0,,5.75,3.1644495,,31.0
Panda! Go Panda! Collección,2,0.0,,0.0,,5.800000000000001,1.5461555,,17.0
"Pane, amore e… - Collezione",3,0.0,,0.0,,7.233333333333333,0.9302536666666666,,8.666666666666666
Papa ou Maman Collection,1,0.0,,0.0,,6.1,8.307255,,397.0
Paradise Lost Collection,3,0.0,,0.0,,7.566666666666666,2.0634963333333336,,36.0
Paradise Trilogy,3,3.6,3.6,0.037476,0.012492000000000001,6.433333333333334,3.124624666666667,0.006740833333333333,39.666666666666664
Paranormal Activity Collection,6,28.015,4.6691666666666665,883.848567,147.3080945,5.483333333333333,9.2273625,34.852181,705.6666666666666
Paranormal Investigations Collection,4,0.0005,0.0005,0.0,,4.225,1.18146425,,19.25
Parasyte Collection,2,0.0,,0.0,,6.25,2.793211,,34.5
Parent Trap Collection,3,0.0,,0.0,,5.233333333333333,2.295595666666667,,34.0
Patlabor Collection,2,0.0,,0.0,,7.0,2.281673,,22.5
Pee-wee's Collection,3,6.0,6.0,56.062662,28.031331,5.833333333333333,10.112289666666667,6.823443666666667,112.66666666666667
Pekko aikamiespoika Collection,1,0.0,,0.0,,5.5,0.071764,,2.0
Penitenciaría - Colección,2,0.0,,0.0,,3.95,0.118451,,4.5
Per Fly trilogien (Samling),3,0.0,,0.0,,6.8,2.4919086666666668,,12.333333333333334
Percy Jackson Collection,2,185.0,92.5,401.07596,200.53798,5.95,10.0620585,2.1619725236842107,1882.0
Pet Sematary Collection,2,19.5,9.75,74.56192,37.28096,5.7,7.594603000000001,3.5669507907608695,262.0
Peter Pan Collection,2,24.0,12.0,197.267333,98.6336665,6.55,12.810653499999999,13.672148425,842.0
Phantasm Collection,5,6.45,1.6125,19.27132,9.63566,5.74,5.9077616,21.194590166666668,80.2
Philo & Clyde Collection,2,5e-06,5e-06,70.687429,35.3437145,6.15,6.5195405,16.999999999999996,110.5
Philo Vance Collection,2,0.0,,0.0,,4.3,0.404948,,3.0
Phobia Collection,2,0.0,,0.0,,6.35,1.5902065,,27.0
Pierino - Serie ufficiale,1,0.0,,0.0,,5.3,1.983089,,18.0
Pippi Longstocking,3,0.0,,0.0,,6.8999999999999995,3.3011156666666666,,24.666666666666668
Piranha 3D Collection,2,29.0,14.5,91.681893,45.8409465,4.699999999999999,6.9136685,2.582459570833333,459.0
Piranha Collection,2,0.805786,0.402893,0.0,,4.8,9.7537235,,80.5
Pirates of the Caribbean Collection,5,1250.0,250.0,4521.576826,904.3153652000001,6.88,53.972236599999995,3.453008643478261,5016.0
Pitbull - Kolekcja,3,0.0,,0.0,,7.066666666666666,1.3167226666666667,,14.333333333333334
Pitch Perfect Collection,2,46.0,23.0,402.85662,201.42831,7.05,13.449290999999999,8.34966293306288,2153.5
Planes Collection,2,100.0,50.0,370.95449900000006,185.47724950000003,5.75,9.592018,3.7095449900000004,427.0
Planet of the Apes (Reboot) Collection,3,415.0,138.33333333333334,1563.412714,521.1375713333333,7.0,87.720253,4.180262152941177,3546.0
Planet of the Apes Original Collection,5,14.7,2.94,83.288644,16.6577288,6.32,13.343866199999999,5.705882352941177,412.2
Pocahontas Collection,2,55.0,55.0,346.079773,346.079773,5.800000000000001,11.0219805,6.292359509090909,903.0
Poison Ivy Collection,4,1.999,1.999,0.0,,4.525,5.58636625,,39.25
Pokémon Collection,20,250.72039999999998,50.144079999999995,601.865958,66.87399533333333,6.055,4.3742844,4.464975666666666,71.1
Police Academy Collection,7,4.5,4.5,304.643237,43.52046242857143,5.142857142857143,7.498310714285714,32.488643555555555,291.2857142857143
Police Story Collection,7,0.9,0.9,123.544268,41.18142266666667,6.571428571428571,8.045344857142856,22.759358888888887,101.57142857142857
Poltergeist Collection,3,40.2,13.4,177.340665,59.113555,5.833333333333333,8.818385666666666,2.1577192105263157,370.0
Porky's Collection,3,19.5,6.5,180.006429,60.002143,5.433333333333334,7.042830666666667,5.19373323076923,98.0
Power Rangers Collection,2,25.0,12.5,83.97973900000001,41.989869500000005,4.9,6.230485999999999,3.0989869500000005,106.5
Predator Collection,3,93.0,31.0,281.604679,93.86822633333333,6.433333333333334,13.088954666666666,3.1562203249999996,1367.6666666666667
Prep & Landing Collection,1,0.0,,0.0,,6.6,2.362086,,35.0
Problem Child Collection,3,0.0,,0.0,,4.833333333333333,5.607634666666667,,95.0
Project A Collection,2,0.0,,0.0,,6.85,6.2067375,,74.5
Prom Night Collection,5,1.0,1.0,32.275991000000005,10.758663666666669,5.26,3.9844742,14.796236,64.0
Prometheus Collection,2,227.0,113.5,635.550385,317.7751925,6.0,44.754466,2.7484906964314035,3914.5
Prostokvashino Collection,3,0.0,,0.0,,5.6000000000000005,0.9178426666666667,,13.666666666666666
Prudence et Bélisaire Beresford Collection,2,0.0,,0.0,,5.55,1.9023815,,13.5
Psy Collection,2,0.0,,0.0,,8.2,0.6528425,,7.5
Psycho Collection,3,5.806948,2.903474,81.206606,27.068868666666663,6.566666666666667,16.51422966666667,23.300295595255207,870.6666666666666
Public Enemy Series,1,0.0,,0.0,,7.4,1.659613,,8.0
Puella Magi Madoka Magica: The Movie,3,0.0,,12.94788,12.94788,7.7,3.589855333333334,,32.333333333333336
Puff Collection,1,0.0,,0.0,,7.0,0.635137,,2.0
Pulse Collection,2,38.0,38.0,29.907685,29.907685,4.8,9.3755445,0.7870443421052632,91.0
Pumping Iron Collection,2,1.0,1.0,0.0,,7.5,3.0022984999999998,,68.5
Pumpkinhead Collection,2,3.5,3.5,4.385516,4.385516,5.25,6.9898235,1.2530045714285714,71.0
Puppet Master Collection,10,1.58,0.79,0.0,,4.14,2.642611,,23.4
Pusher Collection,3,0.0,,0.0,,7.033333333333334,5.181865,,104.33333333333333
Puss 'n Boots Collection,1,0.0,,0.0,,5.3,0.961031,,3.0
Qatsi Collection,3,5.5,2.75,2.3264240000000003,0.7754746666666668,7.066666666666666,4.792929,0.1200668,71.33333333333333
Quando le donne avevano la coda,1,0.0,,0.0,,5.5,1.179922,,7.0
Quarantine Collection,2,16.0,8.0,40.855419,40.855419,5.199999999999999,5.3303615,3.40461825,232.0
Quatermass (Hammer series),3,0.0,,0.0,,6.333333333333333,9.277380666666668,,44.0
RED Collection,2,142.0,71.0,71.664962,71.664962,6.5,11.8187475,1.2356027931034483,2203.0
Raaz Collection,1,0.0,,0.0,,6.4,0.521858,,6.0
Race Collection,2,0.0,,0.0,,5.5,2.0898395,,31.5
Race Gurram collection,1,0.0,,0.0,,6.0,0.910767,,6.0
Rakht Charitra,1,0.39,0.39,0.0,,5.4,0.2539079999999999,,7.0
Rambo Collection,4,172.0,43.0,727.873237,181.96830925,6.4,12.060943,4.91376516955267,1029.75
Rampage Collection,3,0.0,,0.0,,5.5,5.173405666666667,,87.0
Ranma Collection,3,0.0,,0.0,,6.033333333333334,0.4583086666666667,,4.333333333333333
Rare Exports Collection,1,1.948,1.948,0.0,,6.4,4.51319,,143.0
Re-Animator Collection,3,5.9,1.9666666666666668,2.023414,2.023414,6.233333333333333,7.312801666666666,2.2482377777777773,129.66666666666666
Rebuild of Evangelion,3,0.0,,101.87382500000001,33.95794166666667,7.5,6.9586060000000005,,122.66666666666667
Recep İvedik Serisi,4,0.5,0.5,154.851495,77.4257475,5.825,1.47529625,10.66,16.75
Red Cliff Collection,2,160.341,80.1705,248.873834,124.436917,7.1,9.5887095,1.5520708539012613,158.5
Red Lotus Collection,1,0.0,,0.0,,5.6,0.674934,,4.0
Reeker Collection,2,2.0,2.0,0.0,,4.800000000000001,9.5003335,,40.0
Regalo di Natale - Collezione,1,0.0,,0.0,,6.4,1.006004,,17.0
Resident Evil Collection,6,288.0,48.0,1233.421727,205.5702878333333,5.983333333333333,3.4664378333333334,3.4964018290598284,1472.1666666666667
Resident Evil: Biohazard,3,0.0,,0.0,,6.3999999999999995,12.854946333333332,,198.0
Rest Stop Collection,2,0.0,,0.0,,5.0,3.553787,,39.5
Return of the Living Dead Collection,5,12.2,4.066666666666666,23.497131,7.832377,5.4,7.8090002,1.484826451612903,100.2
Revenge of the Nerds Collection,4,0.0,,22.642033,22.642033,4.9,6.62850125,,78.0
Richard the Lionheart Collection,1,0.0,,0.0,,1.9,0.4832689999999999,,4.0
Richie Rich Collection,1,40.0,40.0,0.0,,5.4,6.595255,,426.0
"Rico, Oskar 1, 2 & 3",1,0.0,,0.0,,6.2,2.343945,,16.0
Ride Along Collection,2,65.0,32.5,278.825135,139.4125675,6.1,9.658341499999999,4.64029783,717.0
Ring of Fire Collection,1,0.0,,0.0,,5.0,0.2214199999999999,,5.0
Ringo Collection,2,0.0,,0.0,,6.6,1.1524640000000002,,11.0
Ringu Collection,4,16.1,4.025,27.377073000000003,13.688536500000001,5.85,4.4926485000000005,5.178232416666667,116.0
Rio Collection,2,193.0,96.5,984.824195,492.4120975,6.4,9.294284000000001,5.120520087918015,1605.0
Road House Collection,1,15.0,15.0,30.050028,30.050028,6.3,2.943427,2.0033352,259.0
Road Trip Collection,2,16.0,16.0,119.754278,119.754278,5.6,6.0029515,7.484642375,306.5
Road to Collection,7,0.0,,0.0,,6.485714285714286,1.6920155714285714,,13.428571428571429
Robert,2,0.0,,0.0,,2.6500000000000004,1.775384,,13.5
Robert Langdon Collection,3,350.0,116.66666666666667,1344.455157,448.151719,6.233333333333333,19.696439333333334,2.9336167866666667,2424.0
RoboCop Collection,4,190.0,47.5,352.066348,88.016587,5.65,10.8469515,1.663792206547619,1171.5
Robot Chicken: Star Wars Collection,1,0.0,,0.0,,6.9,7.994542,,58.0
Robot Jox Collection,3,10.0,10.0,0.0,,5.3999999999999995,1.1421823333333332,,13.666666666666666
Robotech (Samling),1,0.0,,0.0,,4.0,0.002001,,1.0
Rocky Collection,7,159.0,22.714285714285715,1337.1260940000002,191.01801342857146,6.671428571428572,15.378444428571429,9.692700516129033,1168.2857142857142
Rocky Horror Collection,2,1.2,1.2,112.892319,112.892319,6.6,5.360314,94.0769325,360.0
Romancing the Stone Collection,2,35.0,17.5,183.345438,91.672719,6.3,8.699517,6.2640759,383.0
Romantik Komedi [Seri],1,0.0,,0.0,,5.3,0.838318,,7.0
Rosemary's Baby Collection,2,3.2,3.2,33.395426,33.395426,4.75,6.3775805,10.436070625,449.5
Rudolph the Red-Nosed Reindeer Collection,4,0.0,,0.0,,6.125,2.789499,,45.25
Rugrats Collection,3,30.00003,15.000015,100.49178599999999,50.245892999999995,5.8,6.773922,3.39152805,104.0
Running Out Of Time Collection,2,0.0,,0.0,,6.65,2.5077865,,22.0
Rurouni Kenshin Live-Action Collection,3,0.0,,61.7,61.7,7.366666666666667,10.373562333333334,,128.66666666666666
Rush Hour Collection,3,263.0,87.66666666666667,849.734899,283.24496633333337,6.433333333333334,9.968217666666668,3.859175577777778,1044.3333333333333
S.W.A.T. Collection,3,88.0,44.0,116.643346,116.643346,5.466666666666666,12.915563333333333,1.458041825,292.6666666666667
SPL Collection,2,0.0,,0.0,,6.75,5.878745500000001,,67.0
Sabrina the Teenage Witch Collection,1,0.0,,0.0,,5.2,7.220814999999999,,56.0
Sadako 3D Collection,1,0.0,,0.0,,5.9,9.039479,,18.0
Saheb Biwi Aur Gangster Collection,2,0.0,,0.0,,6.85,0.7898185,,6.5
Sailor Moon Collection,3,0.0,,0.0,,6.766666666666667,1.0697963333333333,,12.666666666666666
Saint Seiya Collection,6,0.0,,0.0,,6.05,2.821069666666667,,43.0
Saints and Soldiers Collection,3,0.78,0.78,0.0,,5.666666666666667,5.479672666666666,,48.666666666666664
Salt and Pepper Collection,1,0.0,,0.0,,2.9,0.277486,,4.0
Sami Swoi Collection,1,0.0,,0.0,,7.6,0.92235,,16.0
Sammy's Adventure Collection,2,0.0,,0.0,,5.55,8.069598,,105.5
Samurai Collection,3,0.0,,0.0,,7.366666666666667,2.7143313333333334,,27.666666666666668
Samurai Trilogy,3,5.0,5.0,7.338986999999999,7.338986999999999,7.5,2.5007673333333336,1.4677973999999998,46.666666666666664
Santa Baby Collection,2,0.0,,0.0,,4.8,0.753233,,7.0
Santa's Apprentice,1,0.0,,0.0,,4.9,0.354486,,6.0
Santas Paw,2,0.0,,0.0,,5.15,2.8167090000000004,,23.5
"Sarah, Plain and Tall Collection",3,0.0,,0.0,,5.5,0.9572326666666666,,4.333333333333333
Sarkar Collection,2,2.7199999999999998,1.3599999999999999,5.9,5.9,6.1,1.429156,3.105263157894737,11.5
Sartana Collection,5,0.0,,0.0,,6.04,0.4684558,,3.4
Saturday Night Fever Collection,2,25.5,12.75,302.005854,151.002927,5.6,9.258938,35.348145409090904,238.0
Save The Last Dance Collection,2,13.0,13.0,91.038276,91.038276,5.75,4.3880230000000005,7.0029443076923075,222.0
Saw Collection,7,67.0,9.571428571428571,878.307806,125.47254371428572,6.185714285714285,15.747606000000001,13.935263299999999,1135.142857142857
Sağ Salim Serisi,1,0.0,,0.0,,6.7,0.289716,,3.0
Scanners Collection,4,4.1,4.1,28.451752,14.225876,5.125,3.7226160000000004,3.4697258536585367,72.5
Scary Movie Collection,5,177.0,35.4,896.55503,179.311006,5.42,12.365501,3.9613915555555557,1005.4
Schoolgirl Report Collection,5,0.0,,0.0,,5.4,2.2837092,,5.6
Schule Collection,1,0.0,,0.0,,5.5,1.309854,,20.0
Scooby-Doo Collection,4,84.0,84.0,457.11753600000003,228.55876800000001,5.5,8.961492999999999,3.2815559880952385,382.25
Scream Collection,4,118.0,29.5,604.382926,151.0957315,6.225,11.082595,5.613830554166666,1013.75
Screamers Collection,2,20.0,20.0,5.781885,5.781885,5.25,8.842614000000001,0.28909425,94.5
Screwballs Collection,3,0.945,0.945,0.0,,5.0,1.0641446666666667,,12.0
Scuola di ladri - Collezione,2,0.0,,0.0,,5.65,2.146061,,41.5
See No Evil Collection,2,8.0,8.0,0.0,,4.6,5.093231,,105.5
Seed Collection,1,10.0,10.0,0.0,,3.6,1.7827650000000002,,28.0
Seven Dwarfs Collection,2,0.0,,0.0,,5.050000000000001,5.610149,,57.0
Seventh Company Collection,2,0.0,,0.0,,6.8,3.489948,,46.0
Sex Up Filmreihe,1,0.0,,0.0,,6.4,0.428519,,4.0
Sex and Zen Collection,2,0.0,,0.396003,0.396003,4.85,3.9273190000000002,,14.0
Sex and the City Collection,2,165.0,82.5,703.6004780000001,351.80023900000003,5.75,8.213161500000002,4.63599066,479.5
Sex is Zero Collection,1,0.0,,0.0,,6.3,4.389011,,25.0
Shadow Boxing Collection,2,9.5,4.75,19.434733,9.7173665,5.3,0.6196335,2.1113963809523812,9.0
Shadow Warriors,1,0.0,,0.0,,5.4,0.236093,,5.0
Shaft Collection,4,54.12,13.53,130.776116,32.694029,5.875,3.335619,2.6803815760869565,99.25
Shanghai Noon Collection,2,105.0,52.5,145.255792,72.627896,6.1,8.889109999999999,1.400801279090909,731.5
Shaolin Temple Collection,3,10.0,10.0,19.712260999999998,9.856130499999999,6.733333333333333,1.933181,,15.666666666666666
Shark.Attack,3,0.0,,0.0,,4.0,0.8286086666666667,,16.0
Sharknado Collection,4,1.0,1.0,0.0,,4.25,4.784739,,225.25
Sharktopus Collection,3,6.0,6.0,0.0,,4.133333333333334,2.194499,,27.666666666666668
Sharpe Collection,13,0.0,,0.0,,6.738461538461538,1.7096406153846155,,13.23076923076923
She Collection,2,0.0,,0.0,,5.75,3.2187405,,9.0
Sherlock Holmes (1939 series),12,0.0,,0.0,,6.925,2.8768973333333334,,21.583333333333332
Sherlock Holmes Collection,2,215.0,107.5,858.643679,429.3218395,7.0,17.1906845,4.249730438888889,4927.0
Sherlock Holmes: The Golden Years Collection,2,0.0,,0.0,,4.4,0.7763389999999999,,3.5
Shiloh Collection,3,0.0,,0.0,,6.133333333333333,1.4206573333333334,,9.333333333333334
Shin Chan Collection,1,0.0,,0.0,,6.0,0.596529,,5.0
Short Circuit Collection,2,0.0,,62.327849,31.1639245,5.95,9.758994,,351.5
Short Peace,1,0.0,,0.0,,7.0,1.273737,,16.0
Showgirls Collection,1,45.0,45.0,20.350754,20.350754,4.9,17.502375,0.4522389777777777,261.0
Shrek Collection,5,535.0,133.75,2955.8070079999998,738.9517519999999,6.459999999999999,12.966704799999999,5.562873458958333,2344.2
Sides of the Bed,1,0.0,,0.0,,6.3,1.99771,,24.0
"Signed, Sealed, Delivered",8,0.0,,0.0,,6.625,0.707389625,,3.125
Silence of God Trilogy by Ingmar Bergman,3,0.0,,0.0,,7.566666666666666,4.372102000000001,,81.66666666666667
Silent Hill Collection,2,70.0,35.0,149.91024900000002,74.95512450000001,5.699999999999999,6.8418315,2.2836444300000003,764.0
"Silent Night, Deadly Night Collection",6,1.315,0.6575,0.16888999999999987,0.08444499999999994,4.733333333333333,2.5262913333333334,0.617292,32.833333333333336
Simon Brenner Collection,4,0.0,,0.0,,7.275,2.7308985,,24.0
Sin City Collection,2,105.0,52.5,198.141436,99.070718,6.75,17.8170835,2.287308257692308,2034.5
Singam Collection,1,2.2,2.2,9.7,9.7,6.9,1.132835,4.409090909090908,19.0
Singham Collection,2,3.062,3.062,25.034,25.034,6.5,2.0930524999999998,8.175702155453951,30.0
Single White Female Collection,2,18.0,9.0,48.017402,48.017402,5.0,4.186461,3.001087625,76.5
Sinister Collection,2,13.0,6.5,130.594457,65.2972285,6.15,15.046782499999999,15.596174066666666,1108.0
Sissi Collection,3,0.0,,0.0,,7.133333333333333,9.200752333333334,,86.33333333333333
Sister Act Collection,2,69.0,34.5,288.924179,144.4620895,6.2,15.908745999999999,4.4897646854838715,548.5
Six Degrees of Celebration Collection,5,5.0,5.0,22.772019,22.772019,5.359999999999999,1.2183328,4.5544038,10.2
Six Swedes Collection,1,0.0,,0.0,,3.7,0.8781370000000001,,3.0
Skeleton Key Collection,1,0.005,0.005,0.0,,1.8,0.299214,,4.0
Ski School Collection,2,0.0,,0.0,,4.550000000000001,1.7021359999999999,,12.5
Slap Shot Collection,3,4.5,4.5,28.0,28.0,5.166666666666667,3.9113866666666666,,39.333333333333336
Slayers - Movie Collection,5,0.0,,0.0,,4.4399999999999995,0.5815194,,3.8
Sleepaway Camp Collection,5,4.35,2.175,0.0,,4.74,2.8928719999999997,,50.8
Sleuth Collection,2,0.0,,0.342835,0.342835,6.95,8.9999605,,153.0
Slime City Collection,1,0.05,0.05,0.0,,4.7,1e-06,,7.0
Smokey and the Bandit Collection,3,0.0,,198.549004,66.18300133333334,5.433333333333334,9.532224,,111.0
Smokin' Aces Collection,2,25.0,12.5,57.103895,57.103895,5.9,7.004291,3.3590526470588236,314.5
Snake Eater Collection,1,0.0,,0.0,,4.9,0.481576,,6.0
Sniper Collection,6,8.0,4.0,18.994653,18.994653,5.45,5.475338166666667,,48.5
Snow Collection,2,0.0,,0.0,,5.65,0.6897884999999999,,7.0
Snow Queen Collection,3,7.0,7.0,12.4,12.4,6.3,3.636568666666667,1.7714285714285716,23.0
Sometimes They Come Back Collection,3,3.0,3.0,0.0,,4.333333333333333,3.784580666666667,,34.333333333333336
Son of Batman Collection,3,3.5,3.5,0.0,,6.8,8.507187666666667,,234.33333333333334
Space Chimps Collection,2,37.0,37.0,63.80034499999999,63.80034499999999,4.8,3.8990064999999987,1.7243336486486485,64.5
Space Dogs,2,31.0,15.5,6.5,6.5,5.25,2.330266,0.26,6.5
Species Collection,4,73.8,24.599999999999998,132.53966300000002,66.26983150000001,4.725,11.095061750000001,1.8934237571428572,184.0
Speed Collection,2,190.0,95.0,514.956211,257.4781055,5.449999999999999,11.0639115,6.354890122916666,1126.5
Spider-Man Collection,3,597.0,199.0,2496.346518,832.115506,6.466666666666666,22.620704,3.918831705,4505.666666666667
Spiders - Collection,2,0.0,,0.0,,4.25,1.499924,,20.5
Spirits' Homecoming Collection,1,0.0,,0.0,,8.5,1.264456,,5.0
Splash Collection,2,8.0,8.0,69.821334,69.821334,4.05,4.289829999999999,8.72766675,165.5
SpongeBob Collection,2,104.0,52.0,451.755824,225.877912,6.2,11.7742005,4.441394947747748,663.0
Spud Collection,3,5.0,5.0,0.0,,6.933333333333334,1.5757606666666668,,10.666666666666666
Spy Kids Collection,4,138.0,34.5,550.2338299999999,137.55845749999997,4.975,8.58655875,3.6978696878306874,544.75
St. Trinian's Collection,4,0.0,,0.0,,6.175,3.062195,,60.5
Stake Land Collection,2,0.65,0.65,0.033245,0.033245,5.800000000000001,6.929391000000001,0.05114615384615384,163.0
Stakeout Collection,2,0.0,,0.0,,5.6,10.671779,,87.0
Star Crash Collection,2,0.0,,0.0,,3.65,0.993402,,18.0
Star Trek: Alternate Reality Collection,3,525.0,175.0,1196.517508,398.8391693333333,7.133333333333333,17.267735333333334,2.4598170842105263,3896.3333333333335
Star Trek: The Next Generation Collection,4,214.0,53.5,455.312826,113.8282065,6.45,9.45522075,2.4218045112781956,505.5
Star Trek: The Original Series Collection,6,146.0,24.333333333333332,622.9,103.81666666666666,6.516666666666667,8.740138666666667,4.402380952380952,494.5
Star Wars Collection,8,854.35,106.79375,7434.494790000001,929.3118487500001,7.375,23.41091925,8.23963653007986,5430.375
Star Wars: The Ewok Adventures Collection,2,3.0,3.0,0.0,,5.65,7.529053,,44.5
Star Wreck Collection,1,0.016398,0.016398,0.0,,6.6,7.759197,,27.0
Stargate SG-1 Collection,3,14.0,7.0,8.9,8.9,6.866666666666667,6.891367333333332,1.2714285714285716,120.33333333333333
Starship Troopers Collection,4,121.0,40.333333333333336,121.214377,121.214377,5.075,12.81991225,1.154422638095238,513.25
State Property Collection,2,0.0,,3.7985440000000006,1.8992720000000003,4.95,0.46941299999999997,,6.5
