,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Candyman Collection,3,6.0,6.0,39.732693,19.8663465,4.933333333333334,8.654649333333333,4.298718333333333,134.66666666666666
Cannonball Run Collection,3,18.0,18.0,103.335013,34.44500433333334,5.233333333333333,4.935059333333333,4.009976611111111,89.0
Caprinos Eventyrlige Verden,1,0.0,,0.0,,7.9,2.73578,,28.0
Caprona Collection,4,1.5,1.5,0.0,,5.7250000000000005,4.9617885,,25.0
Captain America 1979 Classic Collection,2,0.0,,0.0,,4.1,4.808568000000001,,11.5
Captain America Collection,3,560.0,186.66666666666666,2238.6408410000004,746.2136136666668,7.099999999999999,61.307807000000004,4.204509247058824,6839.0
Captain Harlock Collection,2,30.0,30.0,17.137302,17.137302,6.550000000000001,4.2348755,0.5712434,187.0
Cardcaptor Sakura Collection,2,0.0,,0.0,,7.9,1.571696,,24.0
Care Bears Collection,3,0.0,,2.608,2.608,5.166666666666667,2.0538493333333334,,15.666666666666666
Carmina - Colección,2,0.0,,0.0,,6.5,1.6493575,,25.0
Carnosaur Collection,3,1.0,1.0,1.7539790000000002,1.7539790000000002,4.566666666666666,0.559697,1.7539790000000002,15.0
Carrie Collection,2,22.8,11.4,51.562704999999994,25.781352499999997,6.05,7.0221415,9.811810436507935,528.0
Cars Collection,3,495.0,165.0,1372.005602,457.33520066666665,6.333333333333333,17.249710666666665,2.79926198,2265.6666666666665
Casper Collection,4,50.0,50.0,287.928194,287.928194,5.35,8.17754875,5.7585638800000005,307.75
Cat People Collection,2,0.134,0.134,4.0,4.0,6.35,3.574659,29.850746268656714,58.5
Cat Run Collection,2,25.0,25.0,0.0,,5.25,4.97121,,31.5
Cat Stevens y Hutch Bessy Trilogy,3,0.0,,0.0,,6.0,4.633031333333334,,28.666666666666668
Cats & Dogs Collection,2,145.0,72.5,205.858915,102.9294575,4.95,8.041943999999999,1.4397954583333332,242.5
Center Stage Collection,3,18.0,18.0,17.200925,17.200925,6.766666666666667,6.857395666666666,0.9556069444444445,54.666666666666664
Cetto La Qualunque - Collezione,2,5.57975,5.57975,8.9276,8.9276,5.199999999999999,3.2986565,1.6,76.5
Chaar Sahibzaade Collection,1,0.0,,0.0,,6.6,0.2226949999999999,,4.0
Charlie Chan (Roland Winters) Collection,3,0.0,,0.0,,7.366666666666667,0.405165,,4.0
Charlie Chan (Sidney Toler) Collection,21,0.0,,0.0,,6.60952380952381,0.6309962857142857,,5.809523809523809
